gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A1CF	FALSE	TRUE	TRUE	TRUE
A2M	FALSE	FALSE	FALSE	FALSE
A2ML1	FALSE	TRUE	FALSE	TRUE
A4GALT	FALSE	FALSE	FALSE	FALSE
A4GNT	FALSE	FALSE	FALSE	FALSE
AADAC	FALSE	FALSE	FALSE	FALSE
AADACL2	FALSE	FALSE	FALSE	FALSE
AAGAB	FALSE	FALSE	FALSE	FALSE
AAMDC	FALSE	FALSE	FALSE	FALSE
AANAT	FALSE	FALSE	FALSE	FALSE
AARD	FALSE	FALSE	FALSE	FALSE
AARS1	FALSE	FALSE	FALSE	FALSE
AARS2	FALSE	FALSE	FALSE	FALSE
AASDHPPT	FALSE	FALSE	FALSE	FALSE
AASS	FALSE	FALSE	FALSE	FALSE
AATF	FALSE	FALSE	FALSE	FALSE
ABAT	FALSE	FALSE	FALSE	FALSE
ABCA1	FALSE	FALSE	FALSE	FALSE
ABCA10	FALSE	TRUE	FALSE	TRUE
ABCA13	FALSE	TRUE	FALSE	TRUE
ABCA2	FALSE	FALSE	FALSE	FALSE
ABCA3	FALSE	FALSE	FALSE	FALSE
ABCA4	FALSE	FALSE	FALSE	FALSE
ABCA5	FALSE	FALSE	FALSE	FALSE
ABCA6	FALSE	FALSE	FALSE	FALSE
ABCA7	FALSE	TRUE	FALSE	TRUE
ABCA8	FALSE	FALSE	FALSE	FALSE
ABCA9	FALSE	FALSE	FALSE	FALSE
ABCB1	FALSE	TRUE	TRUE	TRUE
ABCB10	FALSE	FALSE	FALSE	FALSE
ABCB11	FALSE	FALSE	FALSE	FALSE
ABCB4	FALSE	FALSE	FALSE	FALSE
ABCB5	FALSE	TRUE	FALSE	TRUE
ABCB6	FALSE	FALSE	FALSE	FALSE
ABCB9	FALSE	FALSE	FALSE	FALSE
ABCC10	FALSE	FALSE	FALSE	FALSE
ABCC3	FALSE	TRUE	TRUE	TRUE
ABCC4	FALSE	FALSE	FALSE	FALSE
ABCC5	FALSE	TRUE	FALSE	TRUE
ABCC6	FALSE	FALSE	FALSE	FALSE
ABCC8	FALSE	FALSE	FALSE	FALSE
ABCC9	FALSE	TRUE	FALSE	TRUE
ABCD2	FALSE	FALSE	FALSE	FALSE
ABCD3	FALSE	FALSE	FALSE	FALSE
ABCD4	FALSE	FALSE	FALSE	FALSE
ABCE1	FALSE	FALSE	FALSE	FALSE
ABCF1	FALSE	TRUE	FALSE	TRUE
ABCF2	FALSE	TRUE	FALSE	TRUE
ABCG2	FALSE	TRUE	FALSE	TRUE
ABCG4	FALSE	FALSE	FALSE	FALSE
ABCG5	FALSE	FALSE	FALSE	FALSE
ABCG8	FALSE	TRUE	FALSE	TRUE
ABHD1	FALSE	FALSE	FALSE	FALSE
ABHD10	FALSE	FALSE	FALSE	FALSE
ABHD11	FALSE	FALSE	FALSE	FALSE
ABHD12B	FALSE	FALSE	FALSE	FALSE
ABHD13	FALSE	FALSE	FALSE	FALSE
ABHD14A	FALSE	FALSE	FALSE	FALSE
ABHD14B	FALSE	FALSE	FALSE	FALSE
ABHD15	FALSE	TRUE	FALSE	TRUE
ABHD17A	FALSE	FALSE	FALSE	FALSE
ABHD17B	FALSE	FALSE	FALSE	FALSE
ABHD17C	FALSE	FALSE	FALSE	FALSE
ABHD2	FALSE	FALSE	FALSE	FALSE
ABHD4	FALSE	FALSE	FALSE	FALSE
ABHD5	FALSE	FALSE	FALSE	FALSE
ABHD6	FALSE	FALSE	FALSE	FALSE
ABHD8	FALSE	FALSE	FALSE	FALSE
ABI3BP	FALSE	FALSE	FALSE	FALSE
ABITRAM	FALSE	FALSE	FALSE	FALSE
ABL1	TRUE	TRUE	TRUE	TRUE
ABL2	TRUE	TRUE	TRUE	TRUE
ABLIM1	FALSE	FALSE	FALSE	FALSE
ABLIM2	FALSE	TRUE	FALSE	TRUE
ABLIM3	FALSE	FALSE	FALSE	FALSE
ABRACL	FALSE	FALSE	FALSE	FALSE
ABRAXAS1	FALSE	FALSE	TRUE	TRUE
